Cod_ID,NOME_UDH,NOME_MUN,IDHM,IDHM_E,IDHM_R,IDHM_L,E_ANOSESTUDO,I_ESCOLARIDADE,I_FREQ_PROP,GINI,RDPC
1310500000001,Baldim,Baldim (MG),0.592,0.459,0.591,0.766,9.69,0.277,0.591,0.52,316.74
1310620001001,Lindéia / Jatobá,Belo Horizonte (MG),0.664,0.565,0.654,0.791,10.48,0.43,0.648,0.4,468.62
1310620001002,Solar do Barreiro : Corumbiara,Belo Horizonte (MG),0.582,0.43,0.609,0.751,9.27,0.332,0.49,0.44,352.96
1310620001003,Bonsucesso : Novo das Indústrias / São João,Belo Horizonte (MG),0.529,0.358,0.57,0.725,7.95,0.23,0.447,0.41,276.83
1310620001004,Vila Olhos d'Água,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,250.12
1310620001005,Vila Pilar,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,250.12
1310620001006,Vila Nova dos Milionários,Belo Horizonte (MG),,,,,,,,,
1310620001007,Vila Átila de Paiva,Belo Horizonte (MG),0.529,0.358,0.57,0.725,7.95,0.23,0.447,0.41,276.83
1310620001008,CDI Jatobá : Conjunto Jatobá Especial / Vila Batik,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,250.12
1310620001012,Petrópolis / Vila Petrópolis Especial,Belo Horizonte (MG),0.546,0.384,0.585,0.726,9.62,0.28,0.449,0.43,305.0
1310620001013,Itaipu : Vila Piratininga Especial,Belo Horizonte (MG),0.517,0.354,0.559,0.699,8.31,0.217,0.453,0.39,258.74
1310620001014,Vila Ecológica Águas Claras / Distrito Industrial do Jatobá / Vila Pinho,Belo Horizonte (MG),0.57,0.436,0.587,0.723,9.79,0.312,0.516,0.42,308.95
1310620001015,Vale do Jatobá : CDI Jatobá / Santa Cecilia Especial,Belo Horizonte (MG),0.546,0.384,0.585,0.726,9.62,0.28,0.449,0.43,305.0
1310620001016,Mangueiras / Vila Mangueiras Especial,Belo Horizonte (MG),0.546,0.384,0.585,0.726,9.62,0.28,0.449,0.43,305.0
1310620001017,Alta Tensão 1ª Seção Especial,Belo Horizonte (MG),0.546,0.384,0.585,0.726,9.62,0.28,0.449,0.43,305.0
1310620001019,Brasil Industrial : Teixeira Dias / Santa Helena / Pongelupe,Belo Horizonte (MG),0.702,0.606,0.7,0.815,10.3,0.539,0.642,0.45,624.84
1310620001020,Tirol : Átila de Paiva / Ademar Maldonado / João Paulo II,Belo Horizonte (MG),0.753,0.694,0.741,0.83,11.02,0.629,0.729,0.47,802.98
1310620001021,Santa Margarida Especial,Belo Horizonte (MG),0.692,0.579,0.702,0.816,10.01,0.521,0.611,0.46,630.0
1310620001022,Flávio Marques Lisboa : Serra do Curral / Solar do Barreiro,Belo Horizonte (MG),0.66,0.558,0.652,0.79,10.28,0.467,0.61,0.41,462.99
1310620001023,Conjunto Jatobá : Olaria / Castanheira,Belo Horizonte (MG),0.629,0.502,0.64,0.775,10.39,0.428,0.544,0.42,428.07
1310620001024,Serra do Curral : Miramar / Cardoso,Belo Horizonte (MG),0.621,0.499,0.628,0.766,10.13,0.382,0.571,0.45,398.02
1310620001025,Independência / Mineirão,Belo Horizonte (MG),0.572,0.429,0.592,0.737,9.99,0.307,0.507,0.39,318.1
1310620001026,Itaipu : Corumbiara / Solar do Barreiro Especial,Belo Horizonte (MG),0.586,0.45,0.599,0.745,10.06,0.326,0.529,0.41,332.83
1310620001027,Olaria / Castanheira,Belo Horizonte (MG),0.621,0.499,0.628,0.766,10.13,0.382,0.571,0.45,398.02
1310620001028,Novo das Indústrias I / Milionários,Belo Horizonte (MG),0.669,0.561,0.669,0.798,9.92,0.482,0.605,0.41,514.55
1310620001029,Diamante : Petrópolis / Vila Petrópolis Especial,Belo Horizonte (MG),0.688,0.595,0.68,0.805,10.58,0.514,0.64,0.41,551.86
1310620001030,Barreiro de Baixo / Teixeira Dias,Belo Horizonte (MG),0.834,0.77,0.874,0.862,10.84,0.808,0.751,0.51,1836.65
1310620001031,Santa Helena : Milionários / Teixeira Dias,Belo Horizonte (MG),0.747,0.689,0.732,0.825,11.05,0.629,0.721,0.43,761.43
1310620002001,Cidade Jardim / Santa Lúcia / São Bento,Belo Horizonte (MG),0.909,0.858,0.997,0.878,11.24,0.903,0.837,0.5,3953.43
1310620002002,Savassi : Boa Viagem / Funcionários,Belo Horizonte (MG),0.916,0.874,1.0,0.879,11.05,0.9,0.862,0.46,4230.07
1310620002003,Barro Preto / Centro / Santa Efigênia,Belo Horizonte (MG),0.869,0.827,0.917,0.864,11.11,0.853,0.815,0.46,2406.2
1310620002004,Santo Antônio / São Pedro,Belo Horizonte (MG),0.909,0.888,0.973,0.87,11.41,0.922,0.872,0.43,3412.36
1310620002005,Novo São Lucas / Serra,Belo Horizonte (MG),0.896,0.852,0.972,0.869,11.23,0.882,0.837,0.49,3392.76
1310620002006,Acaba Mundo,Belo Horizonte (MG),0.531,0.39,0.553,0.693,8.55,0.28,0.461,0.4,250.12
1310620002007,Conjunto Santa Maria : Monte São José,Belo Horizonte (MG),0.582,0.43,0.609,0.751,9.27,0.332,0.49,0.44,352.96
1310620002008,Monte São José : Vila Bandeirantes / Conjunto Santa Maria,Belo Horizonte (MG),0.582,0.43,0.609,0.751,9.27,0.332,0.49,0.44,352.96
1310620002009,Santa Rita de Cássia : Aglomerado Barragem Santa Lúcia,Belo Horizonte (MG),0.582,0.43,0.609,0.751,9.27,0.332,0.49,0.44,352.96
1310620002011,Santana do Cafezal : Aglomerado da Serra,Belo Horizonte (MG),0.515,0.332,0.577,0.714,8.56,0.216,0.412,0.44,289.78
1310620002014,Carmo / Sion,Belo Horizonte (MG),0.905,0.863,0.984,0.874,11.08,0.898,0.846,0.4,3648.99
1310620002015,Cruzeiro / Comiteco,Belo Horizonte (MG),0.913,0.865,1.0,0.879,11.04,0.905,0.845,0.5,4553.54
1310620002016,Santo Agostinho / Lourdes,Belo Horizonte (MG),0.922,0.891,1.0,0.88,11.21,0.9,0.887,0.49,4970.87
1310620002017,Belvedere,Belo Horizonte (MG),0.913,0.865,1.0,0.879,11.04,0.905,0.845,0.5,4553.54
1310620002018,Mangabeiras / Parque das Mangabeiras,Belo Horizonte (MG),0.913,0.865,1.0,0.879,11.04,0.905,0.845,0.5,4553.54
1310620003047,Floresta / Santa Tereza,Belo Horizonte (MG),0.833,0.778,0.864,0.86,10.58,0.808,0.764,0.47,1727.65
1310620003048,Sagrada Família / Horto Florestal / Santa Inês,Belo Horizonte (MG),0.818,0.77,0.831,0.855,11.14,0.754,0.778,0.47,1405.83
1310620003049,Vila Nossa Senhora do Rosário,Belo Horizonte (MG),0.652,0.518,0.67,0.798,10.37,0.397,0.592,0.52,515.85
1310620003050,João Alfredo,Belo Horizonte (MG),0.606,0.46,0.631,0.768,9.44,0.341,0.534,0.48,405.81
